Unique branch codes (purchase),Branch name,City,State
800,CHENNAI BRANCH,Chennai,Tamil Nadu
628,CHANDIGARH MAIN BRANCH,Chandigarh ,Chandigarh
300,MUMBAI MAIN BRANCH,Mumbai,Maharashtra
813,BANGALORE MAIN BRANCH,Bangalore,Karnataka
1308,BHOPAL MAIN BRANCH,Bhopal,Madhya Pradesh
656,MAIN BRANCH JAIPUR,Jaipur,Rajasthan
125,LUCKNOW MAIN BRANCH,Lucknow,Uttar Pradesh
78,GUWAHATI,Guwahati,Assam
1355,GANDHINAGAR,Gandhinagar,Gujarat
1,KOLKATA BRANCH,Kolkata,West Bengal
952,VISAKHAPATNAM,Visakhapatnam,Andhra pradesh
461,RAIPUR MAIN BRANCH,Raipur,Chattisgarh
167,RANCHI,Ranchi,Jharkhand
941,THIRUVANANTHAPURAM,Thiruvananthapuram,Kerala
41,BHUBANESWAR MAIN BRANCH,Bhubaneshwar,Odisha
152,PATNA MAIN BRANCH,Patna,Bihar
691,NEW DELHI MAIN BRANCH,Delhi,Delhi
509,PANAJI (GOA),Panaji,Goa
847,HYDERABAD MAIN BRANCH,Hyderabad,Telangana
2295,BADAMI BAGH(SRINAGAR)(J K),Badgam,J&K
232,GANGTOK,Gangtok,Sikkim